[11:037:07.014 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [12:1842:42.556 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [12:1843:43.850 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/9
] [12:1843:43.881 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=9
] [12:1846:46.236 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:1846:46.272 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1912:12.207 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [12:1912:12.432 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [12:1915:15.342 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [12:1916:16.172 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [12:1916:16.224 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1931:31.722 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/login?userId=충영&userPwd=1234&saveId=on
] [12:1931:31.814 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/main
] [12:1931:31.860 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [12:1933:33.283 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/board/list/N
] [12:1934:34.243 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/board/detail/N/25
] [12:1934:34.273 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1936:36.287 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/reply/insert?refBno=25&replyContent=1234&replyWriter=3
] [12:1936:36.302 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:1958:58.015 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/reply/insert?refBno=25&replyContent=444&replyWriter=3
] [12:1958:58.024 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/reply/selectReplyList?bno=25
] [12:2450:50.062 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/board/list/N
] [12:2452:52.067 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/board/detail/N/24
] [12:2452:52.113 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/reply/selectReplyList?bno=24
] [14:2933:33.458 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [14:2933:33.635 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [14:2935:35.191 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
] [14:3134:34.353 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [14:3134:34.607 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [14:3135:35.784 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
] [14:3136:36.689 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/resources/css/chat-style.css
] [14:3436:36.651 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
] [14:3436:36.677 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/resources/css/chat-style.css
] [14:3458:58.053 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/login?userId=충영&userPwd=1234&saveId=on
] [14:3458:58.170 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/main
] [14:3458:58.244 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:3459:59.734 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/chat/chatRoomList
] [14:353:03.523 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/chat/room/2
] [14:356:06.277 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/chat/chatRoomList
] [14:359:09.114 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/chat/openChatRoom?title=1234
] [14:3511:11.629 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/chat/chatRoomList
] [14:3946:46.109 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/chat/chatRoomList
] [14:3946:46.132 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/resources/css/chat-style.css
] [14:3946:46.902 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/board/list/N
] [14:3948:48.088 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/board/list/P
] [14:3949:49.213 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/board/list/N
] [14:3949:49.588 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/chat/chatRoomList
] [14:3952:52.332 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/board/list/N
] [14:3956:56.467 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/main
] [14:3956:56.514 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:406:06.552 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4016:16.541 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4026:26.543 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4036:36.553 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4046:46.550 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4056:56.550 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4157:57.542 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4258:58.547 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4358:58.552 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4458:58.549 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4558:58.561 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4658:58.549 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4758:58.551 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4858:58.544 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:4958:58.552 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:5058:58.550 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:5158:58.553 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:5258:58.544 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [14:5358:58.546 - 0:0:0:0:0:0:0:1:web:충영:http://localhost:8081/spring/member/selectAll
] [15:0013:13.629 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [15:0016:16.211 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [15:0016:16.384 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [15:0019:19.602 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/login?userId=충영&userPwd=1234&saveId=on
] [15:013:03.643 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
] [15:013:03.707 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/resources/css/chat-style.css
] [15:0110:10.763 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [15:0114:14.086 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/chat/chatRoomList
] [15:0120:20.923 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] [15:0123:23.518 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/detail/N/25
] [15:0123:23.574 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [15:0126:26.280 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/insert?refBno=25&replyContent=4&replyWriter=
] [15:0126:26.316 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/reply/selectReplyList?bno=25
] [15:033:03.289 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/main
] [15:033:03.499 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/member/selectAll
] [15:034:04.351 - 0:0:0:0:0:0:0:1:web::http://localhost:8081/spring/board/list/N
] 
